card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000001,ACC00000352,****-****-****-4937,visa,10000,2175.29,15.73,2029-07,active
CARD000002,ACC00000020,****-****-****-6634,amex,2500,1430.4,21.24,2027-10,blocked
CARD000003,ACC00000641,****-****-****-3721,visa,2500,1187.45,21.18,2027-12,active
CARD000004,ACC00000632,****-****-****-6169,amex,2500,2328.31,14.93,2030-10,active
CARD000005,ACC00000056,****-****-****-2745,visa,5000,4348.13,15.0,2028-12,active
CARD000006,ACC00000216,****-****-****-5978,amex,1000,542.43,14.74,2028-06,active
CARD000007,ACC00000666,****-****-****-6489,visa,2500,1757.36,21.83,2028-03,active
CARD000008,ACC00000751,****-****-****-6902,visa,5000,2444.65,20.51,2029-07,active
CARD000009,ACC00000450,****-****-****-2205,amex,25000,17570.71,16.46,2026-03,active
CARD000010,ACC00000446,****-****-****-7998,mastercard,10000,2430.08,21.72,2029-06,active
CARD000011,ACC00000258,****-****-****-4578,amex,25000,10029.89,18.6,2027-06,active
CARD000012,ACC00000124,****-****-****-7881,visa,10000,8549.55,15.82,2030-04,active
CARD000013,ACC00000478,****-****-****-7921,amex,50000,26755.55,13.05,2030-01,active
CARD000014,ACC00000684,****-****-****-7661,visa,5000,4147.1,14.03,2028-03,active
CARD000015,ACC00000498,****-****-****-1489,visa,2500,1971.52,13.42,2030-10,active
CARD000016,ACC00000012,****-****-****-7744,visa,10000,9202.56,17.54,2027-04,active
CARD000017,ACC00000386,****-****-****-5456,visa,5000,1619.46,17.08,2029-04,active
CARD000018,ACC00000633,****-****-****-6313,mastercard,5000,2024.0,18.44,2027-02,active
CARD000019,ACC00000190,****-****-****-4232,mastercard,50000,37194.06,24.45,2030-05,active
CARD000020,ACC00000145,****-****-****-9004,amex,5000,2155.57,24.47,2028-10,active
CARD000021,ACC00000434,****-****-****-3501,amex,25000,5633.39,21.69,2029-10,active
CARD000022,ACC00000405,****-****-****-7947,visa,15000,14213.84,24.59,2027-06,active
CARD000023,ACC00000718,****-****-****-2513,amex,5000,1679.43,14.52,2027-09,active
CARD000024,ACC00000373,****-****-****-8124,visa,2500,2119.96,16.44,2028-05,active
CARD000025,ACC00000151,****-****-****-6855,mastercard,25000,22394.3,17.04,2029-10,active
CARD000026,ACC00000029,****-****-****-5184,amex,1000,753.09,23.07,2027-08,active
CARD000027,ACC00000220,****-****-****-4838,mastercard,1000,382.18,16.91,2027-09,active
CARD000028,ACC00000721,****-****-****-8530,mastercard,50000,23474.23,20.5,2026-02,active
CARD000029,ACC00000129,****-****-****-4346,mastercard,1000,837.38,14.18,2030-03,active
CARD000030,ACC00000168,****-****-****-9152,mastercard,5000,1197.17,23.63,2028-04,active
CARD000031,ACC00000531,****-****-****-6328,amex,25000,20127.01,21.96,2028-07,active
