customer_id,name,email,phone,address,city,state,segment,risk_rating,created_date,status
CUST000001,Jessica Taylor,jessica.taylor@gmail.com,+1-287-365-3249,6116 Taylor Street,Boston,MA,private,medium,2021-04-02,active
CUST000002,Mary Taylor,mary.taylor@email.com,+1-847-141-2472,6308 Taylor Street,San Jose,CA,business,low,2025-04-15,active
CUST000003,Joseph Davis,joseph.davis@yahoo.com,+1-630-164-4236,2646 Davis Street,Fort Worth,TX,private,medium,2025-09-05,inactive
CUST000004,Ava Anderson,ava.anderson@gmail.com,+1-742-845-7198,504 Anderson Street,San Antonio,TX,private,high,2021-03-28,closed
CUST000005,Michael Jackson,michael.jackson@outlook.com,+1-313-186-3638,5147 Jackson Street,San Antonio,TX,private,low,2021-05-01,active
CUST000006,Linda White,linda.white@yahoo.com,+1-991-998-3639,4172 White Street,San Antonio,TX,business,low,2021-03-05,active
CUST000007,David Johnson,david.johnson@yahoo.com,+1-560-461-4620,7929 Johnson Street,Boston,MA,business,low,2023-04-01,inactive
CUST000008,Patricia Smith,patricia.smith@outlook.com,+1-731-624-9606,9952 Smith Street,Chicago,IL,retail,medium,2022-02-05,active
CUST000009,Emma Johnson,emma.johnson@yahoo.com,+1-851-141-7058,9239 Johnson Street,San Antonio,TX,private,medium,2024-10-30,active
CUST000010,Patricia Davis,patricia.davis@email.com,+1-830-275-9053,9810 Davis Street,Detroit,MI,business,medium,2024-04-22,active
CUST000011,Charles Gonzalez,charles.gonzalez@gmail.com,+1-872-348-7957,7576 Gonzalez Street,Austin,TX,premium,high,2020-05-12,active
CUST000012,Karen Moore,karen.moore@gmail.com,+1-668-193-9476,4297 Moore Street,New York,NY,retail,high,2020-06-05,active
CUST000013,Robert Thomas,robert.thomas@gmail.com,+1-330-170-9756,3655 Thomas Street,Fort Worth,TX,retail,high,2020-09-03,active
CUST000014,Mary Miller,mary.miller@yahoo.com,+1-510-852-2032,7200 Miller Street,Chicago,IL,business,low,2023-08-02,active
CUST000015,David Miller,david.miller@email.com,+1-917-659-7473,4142 Miller Street,Portland,OR,retail,medium,2025-08-14,active
CUST000016,Michael Jackson,michael.jackson@yahoo.com,+1-907-571-8714,2908 Jackson Street,Fort Worth,TX,retail,low,2024-01-31,active
CUST000017,Richard Martinez,richard.martinez@yahoo.com,+1-693-600-6722,2398 Martinez Street,Philadelphia,PA,retail,high,2025-06-17,active
CUST000018,John Anderson,john.anderson@email.com,+1-397-660-1792,9630 Anderson Street,Chicago,IL,retail,high,2023-11-13,active
CUST000019,Ava Hernandez,ava.hernandez@gmail.com,+1-996-908-2699,2139 Hernandez Street,Chicago,IL,premium,low,2021-07-06,active
CUST000020,Thomas Rodriguez,thomas.rodriguez@yahoo.com,+1-288-300-1008,2207 Rodriguez Street,Dallas,TX,private,low,2023-10-13,active
CUST000021,Karen Martin,karen.martin@yahoo.com,+1-275-317-2522,8842 Martin Street,Portland,OR,private,low,2022-12-06,closed
CUST000022,Richard Jackson,richard.jackson@email.com,+1-321-790-9167,951 Jackson Street,Portland,OR,private,low,2022-06-17,active
CUST000023,Sarah Jackson,sarah.jackson@email.com,+1-768-317-8639,2687 Jackson Street,Jacksonville,FL,private,low,2022-11-20,active
CUST000024,Joseph Taylor,joseph.taylor@yahoo.com,+1-388-286-4162,1811 Taylor Street,Houston,TX,private,high,2024-08-01,inactive
CUST000025,Charles Lee,charles.lee@gmail.com,+1-349-897-1798,4496 Lee Street,Denver,CO,retail,low,2023-10-20,closed
CUST000026,Noah Smith,noah.smith@outlook.com,+1-809-549-1643,9667 Smith Street,New York,NY,retail,high,2021-10-11,closed
CUST000027,Mary Williams,mary.williams@outlook.com,+1-409-284-4970,4508 Williams Street,Boston,MA,premium,medium,2020-09-13,active
CUST000028,Jessica Martinez,jessica.martinez@outlook.com,+1-543-595-3859,3674 Martinez Street,Boston,MA,business,high,2022-01-21,active
CUST000029,Emma White,emma.white@email.com,+1-553-496-8077,2406 White Street,San Diego,CA,premium,medium,2021-08-04,active
CUST000030,Barbara Hernandez,barbara.hernandez@gmail.com,+1-941-372-2428,4751 Hernandez Street,Austin,TX,private,medium,2023-01-10,active
CUST000031,Robert Thomas,robert.thomas@yahoo.com,+1-973-757-7996,9853 Thomas Street,San Diego,CA,private,medium,2023-07-19,active
CUST000032,Susan Jackson,susan.jackson@outlook.com,+1-639-129-3501,8031 Jackson Street,Charlotte,NC,premium,low,2022-01-19,active
CUST000033,Emma Martin,emma.martin@email.com,+1-613-231-6824,5145 Martin Street,Austin,TX,retail,high,2025-12-17,active
CUST000034,David Hernandez,david.hernandez@yahoo.com,+1-634-605-8245,4324 Hernandez Street,Dallas,TX,retail,medium,2024-07-01,active
CUST000035,Oliver Anderson,oliver.anderson@yahoo.com,+1-420-271-6762,7403 Anderson Street,Denver,CO,retail,low,2021-12-19,active
CUST000036,Emma Wilson,emma.wilson@yahoo.com,+1-686-684-3172,8834 Wilson Street,San Jose,CA,premium,medium,2021-04-05,active
CUST000037,Robert Anderson,robert.anderson@outlook.com,+1-541-848-4846,4332 Anderson Street,Philadelphia,PA,retail,low,2023-05-30,inactive
CUST000038,James Jones,james.jones@gmail.com,+1-535-805-1079,1637 Jones Street,Jacksonville,FL,retail,medium,2021-07-02,active
CUST000039,Joseph Martinez,joseph.martinez@yahoo.com,+1-952-716-1379,5177 Martinez Street,Phoenix,AZ,private,low,2021-01-19,active
CUST000040,William Gonzalez,william.gonzalez@email.com,+1-315-544-2244,154 Gonzalez Street,Dallas,TX,premium,high,2020-07-19,active
CUST000041,John Davis,john.davis@gmail.com,+1-321-546-3379,7076 Davis Street,Houston,TX,retail,high,2022-03-19,active
CUST000042,James Anderson,james.anderson@yahoo.com,+1-959-508-9948,6089 Anderson Street,Seattle,WA,private,high,2022-10-11,active
CUST000043,Michael Thomas,michael.thomas@email.com,+1-820-887-9835,1289 Thomas Street,Philadelphia,PA,business,low,2022-12-09,active
CUST000044,Jessica Brown,jessica.brown@yahoo.com,+1-839-341-2032,6279 Brown Street,Denver,CO,retail,high,2022-07-10,active
CUST000045,Sarah Garcia,sarah.garcia@gmail.com,+1-993-989-3010,721 Garcia Street,Los Angeles,CA,retail,medium,2020-03-23,active
CUST000046,Robert Lee,robert.lee@email.com,+1-680-580-5778,8338 Lee Street,Boston,MA,retail,medium,2020-07-01,active
CUST000047,Mary White,mary.white@yahoo.com,+1-258-700-3470,2565 White Street,San Antonio,TX,business,low,2021-11-11,active
CUST000048,Susan Jones,susan.jones@gmail.com,+1-752-809-9015,8826 Jones Street,Boston,MA,retail,medium,2021-04-12,active
CUST000049,Barbara Wilson,barbara.wilson@email.com,+1-877-446-4236,2328 Wilson Street,New York,NY,business,medium,2022-09-19,active
CUST000050,Robert Jackson,robert.jackson@email.com,+1-836-520-9152,6602 Jackson Street,Detroit,MI,business,medium,2022-02-09,active
CUST000051,Noah Wilson,noah.wilson@gmail.com,+1-654-637-2844,503 Wilson Street,Los Angeles,CA,private,medium,2025-09-10,active
CUST000052,Robert White,robert.white@email.com,+1-449-230-6392,658 White Street,Philadelphia,PA,premium,low,2020-08-08,active
CUST000053,Karen Martin,karen.martin@email.com,+1-500-523-7924,3265 Martin Street,Chicago,IL,private,low,2020-09-04,active
CUST000054,Joseph Williams,joseph.williams@email.com,+1-690-216-8790,3243 Williams Street,Boston,MA,private,low,2022-12-05,active
