employee_id,branch_id,name,role,email,phone,hire_date,status
EMP00001,BR039,Thomas White,Financial Advisor,thomas.white@bank.com,+1-955-956-4859,2016-07-13,active
EMP00002,BR027,James Johnson,Teller,james.johnson@bank.com,+1-219-844-5242,2022-07-11,terminated
EMP00003,BR026,John Garcia,Manager,john.garcia@bank.com,+1-820-714-9638,2019-10-09,active
EMP00004,BR047,Mary Moore,Customer Service,mary.moore@bank.com,+1-617-328-3099,2023-11-29,active
EMP00005,BR001,Richard Gonzalez,Teller,richard.gonzalez@bank.com,+1-533-858-1661,2022-05-07,active
EMP00006,BR013,Susan Lee,Customer Service,susan.lee@bank.com,+1-266-162-9041,2022-01-09,active
EMP00007,BR009,Ava Rodriguez,Customer Service,ava.rodriguez@bank.com,+1-221-736-1006,2016-07-11,active
EMP00008,BR032,Patricia Wilson,Manager,patricia.wilson@bank.com,+1-974-568-8052,2020-12-12,active
EMP00009,BR006,Sarah Thomas,Customer Service,sarah.thomas@bank.com,+1-961-828-9946,2019-02-11,active
EMP00010,BR019,Richard Thompson,Manager,richard.thompson@bank.com,+1-885-975-7393,2019-06-15,active
EMP00011,BR016,David White,Loan Officer,david.white@bank.com,+1-853-496-5695,2015-08-25,active
EMP00012,BR019,Elizabeth Jones,Customer Service,elizabeth.jones@bank.com,+1-578-825-8903,2024-04-21,on_leave
EMP00013,BR026,Noah Jones,Loan Officer,noah.jones@bank.com,+1-474-540-7183,2020-06-05,active
EMP00014,BR033,Linda Johnson,Loan Officer,linda.johnson@bank.com,+1-862-966-6239,2017-06-25,active
EMP00015,BR045,Sarah Taylor,Financial Advisor,sarah.taylor@bank.com,+1-729-597-8268,2024-05-12,active
EMP00016,BR012,William Martin,Financial Advisor,william.martin@bank.com,+1-952-902-1665,2019-11-28,active
EMP00017,BR003,Oliver Thomas,Customer Service,oliver.thomas@bank.com,+1-693-780-6426,2018-07-02,active
EMP00018,BR013,Oliver Hernandez,Teller,oliver.hernandez@bank.com,+1-543-510-6483,2018-03-27,active
EMP00019,BR002,James Thomas,Financial Advisor,james.thomas@bank.com,+1-374-938-9915,2019-11-24,active
EMP00020,BR021,Charles Brown,Manager,charles.brown@bank.com,+1-970-637-9852,2020-11-13,active
EMP00021,BR041,Barbara Martinez,Customer Service,barbara.martinez@bank.com,+1-246-277-4644,2019-12-04,active
EMP00022,BR013,Thomas Hernandez,Teller,thomas.hernandez@bank.com,+1-213-985-4702,2022-05-05,active
EMP00023,BR003,Elizabeth Moore,Loan Officer,elizabeth.moore@bank.com,+1-758-671-1489,2017-12-17,on_leave
EMP00024,BR040,Michael Martinez,Teller,michael.martinez@bank.com,+1-884-420-9184,2019-07-19,active
EMP00025,BR040,William Davis,Manager,william.davis@bank.com,+1-812-388-6256,2023-03-09,active
EMP00026,BR045,Thomas Thomas,Teller,thomas.thomas@bank.com,+1-852-883-4735,2015-05-14,active
EMP00027,BR030,Sophia Hernandez,Financial Advisor,sophia.hernandez@bank.com,+1-633-851-9092,2020-05-27,active
EMP00028,BR017,David White,Loan Officer,david.white@bank.com,+1-815-397-8500,2016-11-16,active
EMP00029,BR003,Noah Rodriguez,Manager,noah.rodriguez@bank.com,+1-813-150-1143,2016-11-14,active
EMP00030,BR009,Jennifer Gonzalez,Teller,jennifer.gonzalez@bank.com,+1-802-437-2993,2025-12-14,active
EMP00031,BR016,Michael Lee,Customer Service,michael.lee@bank.com,+1-465-939-8745,2015-11-16,active
EMP00032,BR050,Jessica Lopez,Loan Officer,jessica.lopez@bank.com,+1-924-791-8306,2017-08-30,active
EMP00033,BR013,Sarah Jackson,Customer Service,sarah.jackson@bank.com,+1-703-279-2896,2024-06-12,active
EMP00034,BR010,Charles Moore,Financial Advisor,charles.moore@bank.com,+1-236-574-4131,2024-02-21,active
EMP00035,BR035,Mary Martinez,Teller,mary.martinez@bank.com,+1-991-441-2632,2023-09-20,active
EMP00036,BR021,Patricia Gonzalez,Manager,patricia.gonzalez@bank.com,+1-756-679-3400,2023-10-01,active
EMP00037,BR048,Jessica Johnson,Teller,jessica.johnson@bank.com,+1-935-705-7320,2024-08-06,active
EMP00038,BR021,John Davis,Manager,john.davis@bank.com,+1-517-632-8655,2023-03-30,active
EMP00039,BR014,Barbara Williams,Financial Advisor,barbara.williams@bank.com,+1-774-849-6398,2020-11-15,active
EMP00040,BR025,Barbara Brown,Customer Service,barbara.brown@bank.com,+1-385-675-2017,2024-07-12,active
EMP00041,BR034,John Anderson,Financial Advisor,john.anderson@bank.com,+1-403-849-2386,2015-01-09,active
EMP00042,BR036,Emma Wilson,Financial Advisor,emma.wilson@bank.com,+1-621-480-2459,2017-04-27,active
EMP00043,BR023,James Jones,Financial Advisor,james.jones@bank.com,+1-922-874-3828,2024-09-10,active
EMP00044,BR030,Ava White,Customer Service,ava.white@bank.com,+1-590-612-4506,2020-09-14,active
EMP00045,BR035,Linda Thomas,Loan Officer,linda.thomas@bank.com,+1-776-946-8991,2020-06-13,active
EMP00046,BR041,Noah Garcia,Teller,noah.garcia@bank.com,+1-776-894-6169,2023-02-24,active
EMP00047,BR033,Mary Jackson,Manager,mary.jackson@bank.com,+1-624-746-2061,2020-09-04,active
EMP00048,BR042,Linda Anderson,Customer Service,linda.anderson@bank.com,+1-514-507-9584,2023-08-06,on_leave
EMP00049,BR007,Jennifer Johnson,Loan Officer,jennifer.johnson@bank.com,+1-249-137-8425,2016-12-13,active
EMP00050,BR002,James Miller,Manager,james.miller@bank.com,+1-365-130-2220,2025-04-12,active
