card_id,account_id,card_number,card_type,credit_limit,available_credit,apr,expiry_date,status
CARD000001,ACC00000518,****-****-****-7066,visa,5000,1739.98,13.26,2030-10,active
CARD000002,ACC00000039,****-****-****-7337,visa,50000,25121.58,18.18,2030-06,active
CARD000003,ACC00000787,****-****-****-8349,amex,50000,27455.75,16.55,2028-12,active
CARD000004,ACC00000092,****-****-****-9058,mastercard,10000,7681.25,21.46,2029-04,active
CARD000005,ACC00000230,****-****-****-2900,mastercard,50000,18350.2,16.11,2028-06,active
CARD000006,ACC00000009,****-****-****-1246,amex,50000,15787.92,19.8,2027-07,active
CARD000007,ACC00000797,****-****-****-3990,amex,10000,2094.36,23.84,2029-10,blocked
CARD000008,ACC00000187,****-****-****-2056,visa,2500,1940.78,23.43,2028-05,active
CARD000009,ACC00000378,****-****-****-8326,amex,10000,4623.84,13.3,2026-01,active
CARD000010,ACC00000333,****-****-****-2855,mastercard,25000,18111.58,16.0,2029-08,active
CARD000011,ACC00000177,****-****-****-1566,amex,10000,5643.5,13.38,2027-05,active
CARD000012,ACC00000343,****-****-****-9624,mastercard,50000,26076.93,19.18,2028-07,active
CARD000013,ACC00000703,****-****-****-3082,amex,5000,3480.42,20.84,2030-05,active
CARD000014,ACC00000189,****-****-****-5055,amex,2500,660.38,22.02,2029-01,active
CARD000015,ACC00000788,****-****-****-3502,mastercard,25000,12668.93,13.88,2030-01,active
CARD000016,ACC00000322,****-****-****-8992,amex,5000,4985.76,19.16,2028-04,active
CARD000017,ACC00000488,****-****-****-7620,visa,15000,13470.15,22.92,2030-01,active
CARD000018,ACC00000370,****-****-****-6107,visa,10000,8998.53,22.12,2027-07,active
CARD000019,ACC00000519,****-****-****-4306,amex,25000,21828.56,24.89,2026-05,blocked
CARD000020,ACC00000760,****-****-****-8193,visa,2500,899.81,20.8,2027-11,active
CARD000021,ACC00000777,****-****-****-1060,mastercard,2500,2258.91,13.25,2029-04,active
CARD000022,ACC00000443,****-****-****-5817,visa,25000,21355.71,15.2,2028-11,expired
CARD000023,ACC00000644,****-****-****-7601,mastercard,15000,7221.63,13.7,2029-02,expired
CARD000024,ACC00000753,****-****-****-8886,mastercard,50000,26642.64,21.15,2027-01,blocked
CARD000025,ACC00000523,****-****-****-8887,mastercard,2500,705.08,22.74,2030-04,active
CARD000026,ACC00000295,****-****-****-9506,visa,5000,4132.14,17.75,2029-04,active
CARD000027,ACC00000114,****-****-****-6871,visa,10000,7237.81,16.83,2027-01,active
CARD000028,ACC00000259,****-****-****-8455,mastercard,1000,401.94,14.13,2026-01,blocked
CARD000029,ACC00000201,****-****-****-1934,amex,10000,3944.99,16.81,2027-03,active
CARD000030,ACC00000053,****-****-****-8415,mastercard,1000,968.64,20.04,2028-11,active
CARD000031,ACC00000637,****-****-****-2441,amex,5000,3108.16,15.06,2028-12,active
CARD000032,ACC00000327,****-****-****-4394,mastercard,15000,3831.05,19.76,2030-02,active
CARD000033,ACC00000738,****-****-****-4297,mastercard,5000,4298.01,17.18,2030-07,active
CARD000034,ACC00000504,****-****-****-9729,mastercard,25000,18096.49,20.17,2029-10,active
CARD000035,ACC00000269,****-****-****-6093,visa,5000,4107.74,22.67,2026-02,active
CARD000036,ACC00000478,****-****-****-4121,visa,1000,762.86,13.85,2027-11,active
CARD000037,ACC00000170,****-****-****-7120,amex,15000,5168.39,22.72,2030-05,active
CARD000038,ACC00000767,****-****-****-2903,amex,15000,11104.0,14.28,2030-09,active
CARD000039,ACC00000114,****-****-****-3713,mastercard,1000,836.35,15.96,2026-07,active
CARD000040,ACC00000097,****-****-****-5017,mastercard,1000,583.96,14.69,2029-02,active
CARD000041,ACC00000174,****-****-****-9382,visa,50000,33605.08,16.0,2030-10,active
CARD000042,ACC00000225,****-****-****-3641,visa,15000,3197.02,20.36,2027-05,active
CARD000043,ACC00000378,****-****-****-9279,amex,25000,18516.54,18.61,2029-09,active
CARD000044,ACC00000769,****-****-****-8932,amex,25000,6129.41,23.3,2026-06,active
CARD000045,ACC00000044,****-****-****-7674,mastercard,2500,2064.15,14.42,2026-08,active
CARD000046,ACC00000131,****-****-****-6902,visa,5000,4501.06,20.89,2026-09,blocked
CARD000047,ACC00000387,****-****-****-8433,amex,50000,49858.05,13.34,2029-04,active
CARD000048,ACC00000468,****-****-****-4382,visa,1000,895.35,19.85,2028-08,active
CARD000049,ACC00000735,****-****-****-2574,amex,10000,9740.14,22.49,2026-08,active
CARD000050,ACC00000478,****-****-****-5125,amex,1000,237.47,15.24,2027-08,active
CARD000051,ACC00000560,****-****-****-9511,mastercard,15000,7971.34,18.74,2030-12,active
CARD000052,ACC00000290,****-****-****-8119,amex,25000,10608.45,18.28,2028-02,active
